g2869,g2869,not,n2573,n7[5]
g2866,g2866,not,n2576,n7[7]
g2864,g2864,not,n2578,n7[14]
g2861,g2861,not,n2581,n7[19]
g2860,g2860,not,n2582,n7[12]
g2859,g2859,not,n2583,n7[13]
g2858,g2858,not,n2584,n7[27]
g2857,g2857,not,n2585,n7[25]
g1150,g1150,nor,n1617,n5[28],n1283
g2593,g2593,xnor,n2535,n80,n199
g1148,g1148,nor,n1619,n3[47],n1297
g1146,g1146,nor,n1621,n3[45],n1300
g1145,g1145,nor,n1622,n5[27],n1284
g1142,g1142,nor,n1625,n3[43],n1302
g1141,g1141,nor,n1626,n5[26],n1285
g1140,g1140,nor,n1627,n3[42],n1303
g1138,g1138,nor,n1629,n3[40],n1277
g1137,g1137,nor,n1630,n3[39],n1304
g1136,g1136,nor,n1631,n5[25],n1287
g2215,g2215,not,n556,n4[32]
g1133,g1133,nor,n1634,n5[24],n1288
g1132,g1132,nor,n1635,n5[42],n1303
g2401,g2401,not,n370,n2[56]
g1185,g1185,nor,n1582,n4[5],n1308
g1131,g1131,nor,n1636,n3[36],n1307
g1130,g1130,nor,n1637,n3[35],n1306
g1129,g1129,nor,n1638,n3[34],n1286
g1128,g1128,nor,n1639,n3[33],n1278
g2790,g2790,nor,n33,n2[10],n2[74]
g1127,g1127,nor,n1640,n5[23],n1289
g2503,g2503,xnor,n2565,n103,n259
g1126,g1126,nor,n1641,n3[32],n1279
g1123,g1123,nor,n1644,n3[30],n1281
g1121,g1121,nor,n1646,n4[14],n1298
g1118,g1118,nor,n1649,n5[21],n1291
g1115,g1115,nor,n1652,n3[26],n1285
g1114,g1114,nor,n1653,n3[25],n1287
g1113,g1113,nor,n1654,n3[24],n1288
g1112,g1112,nor,n1655,n3[23],n1289
g1111,g1111,nor,n1656,n5[62],n1281
g1110,g1110,nor,n1657,n5[19],n1293
g1535,g1535,or,n1212,n868,n1187
g1109,g1109,nor,n1658,n3[22],n1290
g1908,g1908,nor,n863,n8[27],n2565
g1108,g1108,nor,n1659,n3[21],n1291
g1301,g1301,or,n1370,n885,n1276
g1107,g1107,nor,n1660,n4[63],n1280
g1106,g1106,nor,n1661,n3[20],n1292
g1105,g1105,nor,n1662,n5[18],n1294
g1544,g1544,or,n1203,n727,n1187
g1104,g1104,nor,n1663,n3[2],n1286
g1100,g1100,nor,n1667,n3[18],n1294
g1099,g1099,nor,n1668,n5[17],n1295
g1098,g1098,nor,n1669,n3[17],n1295
g1097,g1097,nor,n1670,n5[16],n1296
g1540,g1540,or,n1207,n776,n1187
g1096,g1096,nor,n1671,n3[16],n1296
g1095,g1095,nor,n1672,n3[15],n1297
g1094,g1094,nor,n1673,n3[14],n1298
g1093,g1093,nor,n1674,n5[15],n1297
g1092,g1092,nor,n1675,n3[13],n1300
g1457,g1457,or,n1264,n854,n1187
g1091,g1091,nor,n1676,n3[12],n1301
g1090,g1090,nor,n1677,n3[11],n1302
g1089,g1089,nor,n1678,n3[10],n1303
g1085,g1085,nor,n1682,n5[58],n1285
g1084,g1084,nor,n1683,n4[43],n1302
g1083,g1083,nor,n1684,n5[13],n1300
g1082,g1082,nor,n1685,n3[7],n1304
g1081,g1081,nor,n1686,n3[6],n1305
g2781,g2781,nor,n42,n2[39],n2[103]
g1268,g1268,or,n1403,n769,n1275
g1159,g1159,nor,n1608,n3[54],n1290
g1079,g1079,nor,n1688,n5[12],n1301
g1078,g1078,nor,n1689,n3[4],n1307
g1077,g1077,nor,n1690,n3[3],n1306
g2838,g2838,or,n2604,n2592,n2598
g1076,g1076,nor,n1691,n5[11],n1302
g1074,g1074,nor,n1693,n3[1],n1278
g1073,g1073,nor,n1694,n5[10],n1303
g1652,g1652,nor,n1119,n293,n346
g1072,g1072,nor,n1695,n4[60],n1283
g1071,g1071,nor,n1696,n3[0],n1279
g2731,g2731,xnor,n92,n2[25],n2[89]
g1070,g1070,nor,n1697,n4[57],n1287
g1069,g1069,nor,n1698,n4[56],n1288
g1068,g1068,nor,n1699,n4[54],n1290
g1066,g1066,nor,n1701,n4[52],n1292
g1065,g1065,nor,n1702,n5[9],n1299
g1064,g1064,nor,n1703,n4[50],n1294
g1062,g1062,nor,n1705,n5[61],n1282
g1061,g1061,nor,n1706,n4[48],n1296
g1060,g1060,nor,n1707,n5[60],n1283
g1059,g1059,nor,n1708,n4[46],n1298
g1056,g1056,nor,n1711,n5[8],n1277
g2178,g2178,not,n593,n5[41]
g1055,g1055,nor,n1712,n4[21],n1291
g1054,g1054,nor,n1713,n4[44],n1301
g1053,g1053,nor,n1714,n4[55],n1289
g1052,g1052,nor,n1715,n4[42],n1303
g1051,g1051,nor,n1716,n4[34],n1286
g1050,g1050,nor,n1717,n5[57],n1287
g1049,g1049,nor,n1718,n4[40],n1277
g1048,g1048,nor,n1719,n5[56],n1288
g1047,g1047,nor,n1720,n5[7],n1304
g2191,g2191,not,n580,n5[26]
g1046,g1046,nor,n1721,n4[38],n1305
g1045,g1045,nor,n1722,n5[55],n1289
g1044,g1044,nor,n1723,n4[36],n1307
g1361,g1361,nor,n1551,n1239,n1185
g1043,g1043,nor,n1724,n4[35],n1306
g2592,g2592,nor,n201,n16,n200
g2221,g2221,not,n550,n5[8]
g1605,g1605,nor,n1166,n513,n301
g1042,g1042,nor,n1725,n5[54],n1290
g1041,g1041,nor,n1726,n5[6],n1305
g1038,g1038,nor,n1729,n4[32],n1279
g1037,g1037,nor,n1730,n5[52],n1292
g1036,g1036,nor,n1731,n4[31],n1280
g2566,g2566,xnor,n2544,n119,n217
g1034,g1034,nor,n1733,n5[51],n1293
g1033,g1033,nor,n1734,n4[29],n1282
g1031,g1031,nor,n1736,n1119,n1227
g1030,g1030,nor,n1737,n980,n1225
g1029,g1029,nor,n1738,n1059,n1223
g2297,g2297,not,n474,n2[105]
g1028,g1028,nor,n1739,n1020,n1220
g2463,g2463,not,n308,n2[12]
g2333,g2333,not,n438,n2[114]
g1026,g1026,nor,n1741,n1004,n1211
g1025,g1025,nor,n1742,n1026,n1205
g1732,g1732,nor,n1039,n537,n473
g1024,g1024,nor,n1743,n1027,n1203
g1023,g1023,nor,n1744,n1028,n1201
g1021,g1021,nor,n1746,n1031,n1192
g1020,g1020,nor,n1747,n1032,n1189
g1018,g1018,nor,n1749,n1068,n1191
g1017,g1017,nor,n1750,n1035,n1193
g2458,g2458,not,n313,n2[0]
g1534,g1534,or,n1213,n799,n1187
g1015,g1015,nor,n1752,n1037,n1196
g1237,g1237,or,n1434,n781,n1276
g1013,g1013,nor,n1754,n1040,n1198
g2169,g2169,not,n602,n4[16]
g1012,g1012,nor,n1755,n1041,n1199
g1011,g1011,nor,n1756,n1043,n1200
g1010,g1010,nor,n1757,n1051,n1202
g1927,g1927,nor,n844,n8[9],n2[9]
g1022,g1022,nor,n1745,n1046,n1195
g1009,g1009,nor,n1758,n1048,n1207
g1008,g1008,nor,n1759,n1017,n1204
g1007,g1007,nor,n1760,n1050,n1206
g1005,g1005,nor,n1762,n1056,n1209
g1004,g1004,nor,n1763,n1057,n1210
g1003,g1003,nor,n1764,n1061,n1212
g1002,g1002,nor,n1765,n1117,n1213
g1001,g1001,nor,n1766,n1100,n1215
g1000,g1000,nor,n1767,n1064,n1217
g1945,g1945,nor,n826,n8[14],n2[14]
g999,g999,nor,n1768,n1069,n1218
g1798,g1798,nor,n973,n299,n288
g996,g996,nor,n1771,n1075,n1222
g1122,g1122,nor,n1645,n4[62],n1281
g995,g995,nor,n1772,n1076,n1224
g993,g993,nor,n1774,n1080,n1228
g991,g991,nor,n1776,n1083,n1231
g990,g990,nor,n1777,n1085,n1233
g989,g989,nor,n1778,n1088,n1234
g988,g988,nor,n1779,n1091,n1266
g987,g987,nor,n1780,n1166,n1255
g2548,g2548,xnor,n2550,n89,n229
g2017,g2017,nor,n754,n8[25],n2531
g1612,g1612,nor,n1159,n516,n458
g986,g986,nor,n1781,n1094,n1256
g1769,g1769,nor,n1002,n534,n399
g985,g985,nor,n1782,n1141,n1257
g1350,g1350,or,n1321,n749,n1275
g984,g984,nor,n1783,n1101,n1258
g1869,g1869,nor,n902,n8[22],n2[86]
g983,g983,nor,n1784,n1105,n1259
g2496,g2496,nor,n265,n41,n264
g982,g982,nor,n1785,n1106,n1260
g980,g980,nor,n1787,n1110,n1262
g979,g979,nor,n1788,n1112,n1263
g978,g978,nor,n1789,n1114,n1264
g977,g977,nor,n1790,n1160,n1265
g1591,g1591,not,n1179,n1178
g975,g975,nor,n1792,n1052,n1268
g974,g974,nor,n1793,n1097,n1269
g2183,g2183,not,n588,n4[62]
g972,g972,nor,n1795,n977,n1271
g971,g971,nor,n1796,n978,n1272
g967,g967,nor,n1800,n5[44],n1301
g1688,g1688,nor,n1083,n518,n344
g966,g966,or,n1801,n1592,n1736
g965,g965,or,n1802,n1595,n1737
g964,g964,or,n1803,n1596,n1738
g1144,g1144,nor,n1623,n4[39],n1304
g963,g963,or,n1804,n1599,n1739
g962,g962,or,n1805,n1600,n1740
g960,g960,or,n1807,n1604,n1742
g959,g959,or,n1808,n1606,n1743
g958,g958,or,n1809,n1607,n1744
g957,g957,or,n1810,n1608,n1745
g1767,g1767,nor,n1004,n517,n316
g955,g955,or,n1812,n1612,n1747
g954,g954,or,n1813,n1613,n1748
g953,g953,or,n1814,n1615,n1749
g952,g952,or,n1815,n1616,n1750
g1714,g1714,nor,n1057,n533,n294
g951,g951,or,n1816,n1618,n1751
g949,g949,or,n1818,n1620,n1753
g947,g947,or,n1820,n1624,n1755
g946,g946,or,n1821,n1625,n1756
g1679,g1679,nor,n1092,n513,n423
g945,g945,or,n1822,n1627,n1757
g1883,g1883,nor,n888,n8[6],n2[70]
g1274,g1274,or,n1397,n846,n1276
g944,g944,or,n1823,n1628,n1758
g941,g941,or,n1826,n1632,n1761
g1750,g1750,nor,n1021,n520,n412
g940,g940,or,n1827,n1633,n1762
g1684,g1684,nor,n1087,n519,n332
g939,g939,or,n1828,n1636,n1763
g938,g938,or,n1829,n1637,n1764
g937,g937,or,n1830,n1638,n1765
g936,g936,or,n1831,n1639,n1766
g935,g935,or,n1832,n1641,n1767
g932,g932,or,n1835,n1647,n1770
g1917,g1917,nor,n854,n8[10],n2[10]
g931,g931,or,n1836,n1648,n1771
g930,g930,or,n1837,n1650,n1772
g927,g927,or,n1840,n1654,n1775
g2752,g2752,nor,n70,n2[60],n2[124]
g1171,g1171,nor,n1596,n3[61],n1282
g924,g924,or,n1843,n1659,n1778
g923,g923,or,n1844,n1661,n1779
g921,g921,or,n1846,n1667,n1781
g919,g919,or,n1848,n1671,n1783
g918,g918,or,n1849,n1672,n1784
g2308,g2308,not,n463,n2[95]
g917,g917,or,n1850,n1673,n1785
g2040,g2040,nor,n731,n8[6],n2544
g1739,g1739,nor,n1032,n524,n311
g916,g916,or,n1851,n1675,n1786
g915,g915,or,n1852,n1676,n1787
g1520,g1520,or,n1227,n742,n1187
g1040,g1040,nor,n1727,n5[53],n1291
g914,g914,or,n1853,n1677,n1788
g2141,g2141,not,n630,n5[11]
g913,g913,or,n1854,n1678,n1789
g912,g912,or,n1855,n1680,n1790
g910,g910,or,n1857,n1685,n1792
g907,g907,or,n1860,n1689,n1795
g906,g906,or,n1861,n1690,n1796
g2493,g2493,nor,n267,n52,n266
g905,g905,or,n1862,n1663,n1797
g904,g904,or,n1863,n1693,n1798
g903,g903,or,n1864,n1696,n1799
g1555,g1555,or,n1192,n765,n1187
g902,g902,nor,n1865,n986,n1321
g1983,g1983,nor,n788,n8[6],n2[38]
g901,g901,nor,n1866,n1062,n1323
g899,g899,nor,n1868,n981,n1327
g898,g898,nor,n1869,n1014,n1335
g897,g897,nor,n1870,n1116,n1328
g1230,g1230,or,n1441,n907,n1275
g896,g896,nor,n1871,n982,n1329
g895,g895,nor,n1872,n1153,n1330
g892,g892,nor,n1875,n1134,n1337
g890,g890,nor,n1877,n1135,n1429
g889,g889,nor,n1878,n988,n1334
g925,g925,or,n1842,n1658,n1777
g888,g888,nor,n1879,n989,n1333
g887,g887,nor,n1880,n1121,n1336
g886,g886,nor,n1881,n992,n1339
g884,g884,nor,n1883,n1089,n1341
g1568,g1568,nor,n1245,n8[22],n279
g883,g883,nor,n1884,n1107,n1340
g1523,g1523,or,n1224,n815,n1187
g882,g882,nor,n1885,n996,n1342
g881,g881,nor,n1886,n1070,n1385
g880,g880,nor,n1887,n999,n1343
g1680,g1680,nor,n1091,n524,n378
g879,g879,nor,n1888,n1058,n1344
g1710,g1710,nor,n1061,n538,n365
g878,g878,nor,n1889,n1054,n1345
g876,g876,nor,n1891,n1042,n1346
g875,g875,nor,n1892,n1000,n1347
g872,g872,nor,n1895,n1001,n1371
g1086,g1086,nor,n1681,n3[8],n1277
g871,g871,nor,n1896,n1021,n1351
g870,g870,nor,n1897,n995,n1352
g1940,g1940,nor,n831,n8[9],n2[105]
g869,g869,nor,n1898,n1010,n1356
g868,g868,nor,n1899,n1003,n1353
g867,g867,nor,n1900,n1152,n1349
g1699,g1699,nor,n1072,n519,n480
g866,g866,nor,n1901,n991,n1355
g865,g865,nor,n1902,n993,n1357
g864,g864,nor,n1903,n984,n1359
g863,g863,nor,n1904,n983,n1326
g862,g862,nor,n1905,n1006,n1360
g861,g861,nor,n1906,n1011,n1361
g860,g860,nor,n1907,n1009,n1362
g2293,g2293,not,n478,n2[104]
g859,g859,nor,n1908,n1013,n1363
g858,g858,nor,n1909,n1015,n1366
g857,g857,nor,n1910,n1142,n1365
g855,g855,nor,n1912,n1132,n1367
g2655,g2655,nor,n159,n29,n158
g854,g854,nor,n1913,n1019,n1369
g1791,g1791,nor,n980,n523,n336
g853,g853,nor,n1914,n1008,n1370
g852,g852,nor,n1915,n998,n1373
g851,g851,nor,n1916,n1029,n1374
g850,g850,nor,n1917,n1007,n1354
g849,g849,nor,n1918,n1033,n1375
g848,g848,nor,n1919,n1036,n1376
g2512,g2512,xnor,n2562,n97,n253
g846,g846,nor,n1921,n1045,n1379
g1322,g1322,or,n1349,n755,n1276
g845,g845,nor,n1922,n1049,n1381
g844,g844,nor,n1923,n1138,n1382
g842,g842,nor,n1925,n1066,n1384
g841,g841,nor,n1926,n1074,n1386
g1484,g1484,or,n1303,n526,n278
g839,g839,nor,n1928,n1082,n1391
g838,g838,nor,n1929,n1090,n1392
g836,g836,nor,n1931,n1104,n1394
g835,g835,nor,n1932,n1109,n1395
g833,g833,nor,n1934,n1146,n1397
g2013,g2013,nor,n758,n8[23],n2[23]
g832,g832,nor,n1935,n1159,n1398
g831,g831,nor,n1936,n1111,n1399
g830,g830,nor,n1937,n1103,n1400
g829,g829,nor,n1938,n1024,n1401
g828,g828,nor,n1939,n1169,n1402
g827,g827,nor,n1940,n1156,n1380
g825,g825,nor,n1942,n1044,n1403
g824,g824,nor,n1943,n1018,n1404
g823,g823,nor,n1944,n1060,n1405
g1543,g1543,or,n1204,n785,n1187
g822,g822,nor,n1945,n1145,n1406
g821,g821,nor,n1946,n975,n1408
g820,g820,nor,n1947,n990,n1409
g2453,g2453,not,n318,n2[61]
g819,g819,nor,n1948,n1125,n1410
g818,g818,nor,n1949,n1133,n1411
g2098,g2098,not,n673,n4[22]
g817,g817,nor,n1950,n1120,n1413
g815,g815,nor,n1952,n1126,n1416
g814,g814,nor,n1953,n1128,n1414
g813,g813,nor,n1954,n1130,n1417
g812,g812,nor,n1955,n1161,n1364
g2812,g2812,not,n11,n2[64]
g810,g810,nor,n1957,n1012,n1418
g809,g809,nor,n1958,n997,n1358
g2129,g2129,not,n642,n5[23]
g808,g808,nor,n1959,n1139,n1420
g2700,g2700,xnor,n123,n2[39],n2[103]
g807,g807,nor,n1960,n1034,n1421
g806,g806,nor,n1961,n987,n1423
g805,g805,nor,n1962,n1115,n1422
g804,g804,nor,n1963,n1137,n1424
g803,g803,nor,n1964,n985,n1425
g2459,g2459,not,n312,n5[43]
g1016,g1016,nor,n1751,n1022,n1194
g802,g802,nor,n1965,n1047,n1426
g799,g799,nor,n1968,n1086,n1390
g797,g797,nor,n1970,n1063,n1388
g968,g968,nor,n1799,n1099,n1274
g796,g796,nor,n1971,n1096,n1389
g1334,g1334,or,n1337,n877,n1276
g795,g795,nor,n1972,n1067,n1431
g794,g794,nor,n1973,n1102,n1432
g793,g793,nor,n1974,n1149,n1433
g1649,g1649,nor,n1122,n314,n290
g791,g791,nor,n1976,n1030,n1372
g1965,g1965,nor,n806,n8[19],n2[19]
g790,g790,nor,n1977,n1023,n1434
g789,g789,nor,n1978,n1162,n1441
g1452,g1452,or,n1269,n739,n1187
g1245,g1245,or,n1426,n891,n1276
g788,g788,nor,n1979,n1151,n1436
g787,g787,nor,n1980,n1150,n1437
g786,g786,nor,n1981,n1072,n1438
g1711,g1711,nor,n1060,n528,n396
g785,g785,nor,n1982,n1140,n1419
g784,g784,nor,n1983,n1144,n1439
g783,g783,nor,n1984,n1129,n1412
g782,g782,nor,n1985,n1163,n1443
g1469,g1469,nor,n1318,n8[13],n279
g781,g781,nor,n1986,n1127,n1442
g2465,g2465,not,n306,n4[4]
g780,g780,nor,n1987,n1164,n1440
g1508,g1508,or,n1279,n292,n278
g779,g779,nor,n1988,n1092,n1445
g778,g778,nor,n1989,n1148,n1444
g776,g776,nor,n1991,n1165,n1447
g775,g775,nor,n1992,n1016,n1448
g774,g774,nor,n1993,n676,n1527
g2761,g2761,nor,n61,n13,n12
g773,g773,nor,n1994,n654,n1467
g772,g772,nor,n1995,n637,n1483
g1057,g1057,nor,n1710,n5[59],n1284
g926,g926,or,n1841,n1655,n1776
g771,g771,nor,n1996,n598,n1481
g770,g770,nor,n1997,n706,n1531
g769,g769,nor,n1998,n547,n1469
g2385,g2385,not,n386,n2550
g1075,g1075,nor,n1692,n4[61],n1282
g767,g767,nor,n2000,n653,n1470
g1103,g1103,nor,n1664,n3[19],n1293
g766,g766,nor,n2001,n684,n1534
g764,g764,nor,n2003,n673,n1473
g763,g763,nor,n2004,n629,n1539
g1067,g1067,nor,n1700,n5[63],n1280
g761,g761,nor,n2006,n544,n1468
g759,g759,nor,n2008,n373,n1543
g758,g758,nor,n2009,n614,n1475
g2374,g2374,not,n397,n2540
g1521,g1521,or,n1226,n845,n1187
g757,g757,nor,n2010,n664,n1546
g756,g756,nor,n2011,n549,n1476
g755,g755,nor,n2012,n351,n1477
g753,g753,nor,n2014,n340,n1549
g752,g752,nor,n2015,n602,n1478
g751,g751,nor,n2016,n665,n1521
g750,g750,nor,n2017,n312,n1502
g749,g749,nor,n2018,n591,n1480
g748,g748,nor,n2019,n624,n1482
g747,g747,nor,n2020,n672,n1554
g2623,g2623,xnor,n2525,n132,n179
g746,g746,nor,n2021,n666,n1484
g745,g745,nor,n2022,n593,n1555
g744,g744,nor,n2023,n338,n1485
g743,g743,nor,n2024,n663,n1507
g742,g742,nor,n2025,n655,n1486
g740,g740,nor,n2027,n596,n1487
g1597,g1597,or,n1176,n287,n1170
g738,g738,nor,n2029,n685,n1558
g737,g737,nor,n2030,n693,n1488
g736,g736,nor,n2031,n660,n1490
g1184,g1184,nor,n1583,n5[37],n1308
g735,g735,nor,n2032,n681,n1559
g734,g734,nor,n2033,n625,n1491
g733,g733,nor,n2034,n696,n1472
g732,g732,nor,n2035,n376,n1483
g2223,g2223,not,n548,n5[7]
g1936,g1936,nor,n835,n8[17],n2523
g1321,g1321,or,n1350,n766,n1275
g731,g731,nor,n2036,n306,n1492
g2711,g2711,xnor,n112,n2[50],n2[114]
g730,g730,nor,n2037,n330,n1493
g729,g729,nor,n2038,n649,n1494
g728,g728,nor,n2039,n560,n1468
g2819,g2819,nor,n272,n268,n269
g2260,g2260,not,n511,n2572
g920,g920,or,n1847,n1669,n1782
g727,g727,nor,n2040,n707,n1556
g726,g726,nor,n2041,n577,n1479
g961,g961,or,n1806,n1602,n1741
g725,g725,nor,n2042,n632,n1495
g2369,g2369,not,n402,n2544
g724,g724,nor,n2043,n553,n1509
g1837,g1837,nor,n934,n313,n283
g723,g723,nor,n2044,n639,n1507
g1149,g1149,nor,n1618,n3[48],n1296
g722,g722,nor,n2045,n692,n1511
g1801,g1801,nor,n970,n368,n287
g721,g721,nor,n2046,n543,n1561
g720,g720,nor,n2047,n558,n1491
g719,g719,nor,n2048,n700,n1514
g718,g718,nor,n2049,n645,n1508
g1324,g1324,or,n1347,n883,n1276
g717,g717,nor,n2050,n551,n1516
g716,g716,nor,n2051,n697,n1496
g1686,g1686,nor,n1085,n536,n325
g715,g715,nor,n2052,n617,n1517
g714,g714,nor,n2053,n581,n1518
g713,g713,nor,n2054,n669,n1520
g712,g712,nor,n2055,n657,n1497
g711,g711,nor,n2056,n694,n1498
g710,g710,nor,n2057,n570,n1522
g1659,g1659,nor,n1112,n522,n363
g709,g709,nor,n2058,n571,n1523
g708,g708,nor,n2059,n680,n1525
g707,g707,nor,n2060,n623,n1526
g2624,g2624,nor,n180,n132,n179
g706,g706,nor,n2061,n621,n1466
g1259,g1259,or,n1412,n814,n1275
g704,g704,nor,n2063,n604,n1529
g2617,g2617,xnor,n2527,n135,n183
g703,g703,nor,n2064,n607,n1499
g2305,g2305,not,n466,n2549
g702,g702,nor,n2065,n646,n1530
g2427,g2427,not,n344,n2[23]
g700,g700,nor,n2067,n687,n1533
g1743,g1743,nor,n1028,n518,n339
g699,g699,nor,n2068,n615,n1536
g698,g698,nor,n2069,n616,n1500
g994,g994,nor,n1773,n1078,n1226
g695,g695,nor,n2072,n334,n1503
g2320,g2320,not,n451,n2[78]
g694,g694,nor,n2073,n545,n1540
g1657,g1657,nor,n1114,n526,n326
g693,g693,nor,n2074,n601,n1541
g2508,g2508,nor,n257,n37,n256
g692,g692,nor,n2075,n627,n1542
g1725,g1725,nor,n1046,n536,n380
g691,g691,nor,n2076,n580,n1504
g2370,g2370,not,n401,n2[77]
g690,g690,nor,n2077,n572,n1544
g2543,g2543,nor,n234,n81,n233
g689,g689,nor,n2078,n709,n1505
g2549,g2549,nor,n230,n89,n229
g687,g687,nor,n2080,n323,n1496
g685,g685,nor,n2082,n567,n1548
g684,g684,nor,n2083,n561,n1550
g683,g683,nor,n2084,n353,n1551
g681,g681,nor,n2086,n636,n1510
g2021,g2021,nor,n750,n2[65],n10[1]
g680,g680,nor,n2087,n675,n1501
g679,g679,nor,n2088,n575,n1553
g678,g678,nor,n2089,n642,n1508
g677,g677,nor,n2090,n554,n1509
g675,g675,nor,n2092,n611,n1512
g2301,g2301,not,n470,n2535
g674,g674,nor,n2093,n705,n1561
g673,g673,nor,n2094,n638,n1514
g2064,g2064,not,n707,n4[1]
g672,g672,nor,n2095,n605,n1516
g671,g671,nor,n2096,n569,n1515
g669,g669,nor,n2098,n667,n1518
g667,g667,nor,n2100,n633,n1520
g1125,g1125,nor,n1642,n3[31],n1280
g666,g666,nor,n2101,n546,n1522
g665,g665,nor,n2102,n585,n1523
g942,g942,or,n1825,n1630,n1760
g664,g664,nor,n2103,n564,n1524
g663,g663,nor,n2104,n661,n1525
g662,g662,nor,n2105,n689,n1526
g1494,g1494,or,n1293,n513,n278
g661,g661,nor,n2106,n678,n1528
g660,g660,nor,n2107,n329,n1527
g2164,g2164,not,n607,n5[29]
g659,g659,nor,n2108,n606,n1529
g658,g658,nor,n2109,n377,n1531
g657,g657,nor,n2110,n622,n1530
g656,g656,nor,n2111,n584,n1532
g1729,g1729,nor,n1042,n516,n415
g655,g655,nor,n2112,n576,n1533
g2674,g2674,nor,n146,n61,n145
g654,g654,nor,n2113,n566,n1536
g1687,g1687,nor,n1084,n522,n476
g653,g653,nor,n2114,n600,n1534
g2148,g2148,not,n623,n3[52]
g652,g652,nor,n2115,n710,n1537
g1556,g1556,or,n1191,n770,n1187
g651,g651,nor,n2116,n587,n1538
g650,g650,nor,n2117,n578,n1539
g649,g649,nor,n2118,n631,n1540
g648,g648,nor,n2119,n583,n1541
g647,g647,nor,n2120,n563,n1543
g646,g646,nor,n2121,n652,n1542
g645,g645,nor,n2122,n643,n1544
g644,g644,nor,n2123,n640,n1545
g1222,g1222,nor,n1449,n5[50],n1294
g643,g643,nor,n2124,n641,n1547
g642,g642,nor,n2125,n594,n1546
g641,g641,nor,n2126,n619,n1548
g2269,g2269,not,n502,n2[88]
g1611,g1611,nor,n1160,n520,n355
g640,g640,nor,n2127,n658,n1550
g639,g639,nor,n2128,n651,n1549
g637,g637,nor,n2130,n650,n1552
g636,g636,nor,n2131,n613,n1510
g2604,g2604,nor,n193,n45,n192
g928,g928,or,n1839,n1653,n1774
g635,g635,nor,n2132,n588,n1560
g668,g668,nor,n2099,n628,n1519
g634,g634,nor,n2133,n630,n1502
g632,g632,nor,n2135,n688,n1501
g631,g631,nor,n2136,n699,n1467
g630,g630,nor,n2137,n352,n1481
g629,g629,nor,n2138,n626,n1469
g627,g627,nor,n2140,n542,n1553
g624,g624,nor,n2143,n573,n1473
g622,g622,nor,n2145,n702,n1557
g621,g621,nor,n2146,n555,n1474
g620,g620,nor,n2147,n592,n1475
g2748,g2748,nor,n74,n2[30],n2[94]
g800,g800,nor,n1967,n1147,n1428
g619,g619,nor,n2148,n557,n1498
g1596,g1596,nor,n1174,n1172,n1170
g1289,g1289,or,n1382,n780,n1276
g618,g618,nor,n2149,n599,n1476
g1537,g1537,or,n1210,n792,n1187
g1014,g1014,nor,n1753,n1038,n1197
g617,g617,nor,n2150,n341,n1555
g1939,g1939,nor,n832,n8[26],n2532
g1027,g1027,nor,n1740,n1005,n1216
g616,g616,nor,n2151,n335,n1477
g615,g615,nor,n2152,n695,n1499
g614,g614,nor,n2153,n610,n1478
g2340,g2340,not,n431,n2547
g613,g613,nor,n2154,n374,n1521
g2469,g2469,not,n302,n2[50]
g612,g612,nor,n2155,n608,n1500
g610,g610,nor,n2157,n691,n1482
g976,g976,nor,n1791,n1143,n1267
g609,g609,nor,n2158,n550,n1535
g2839,g2839,or,n2603,n2600,n2589
g608,g608,nor,n2159,n686,n1484
g607,g607,nor,n2160,n586,n1485
g606,g606,nor,n2161,n644,n1504
g605,g605,nor,n2162,n620,n1486
g604,g604,nor,n2163,n659,n1487
g603,g603,nor,n2164,n635,n1505
g602,g602,nor,n2165,n612,n1489
g676,g676,nor,n2091,n595,n1511
g601,g601,nor,n2166,n597,n1488
g600,g600,nor,n2167,n704,n1506
g599,g599,nor,n2168,n590,n1490
g598,g598,nor,n2169,n703,n1472
g597,g597,nor,n2170,n548,n1558
g596,g596,nor,n2171,n362,n1492
g593,g593,nor,n2174,n579,n1494
g2723,g2723,xnor,n100,n2[33],n2[97]
g894,g894,nor,n1873,n976,n1324
g592,g592,nor,n2175,n350,n1556
g591,g591,nor,n2176,n708,n1515
g2630,g2630,nor,n176,n127,n175
g590,g590,nor,n2177,n556,n1495
g586,g586,nor,n2181,n698,n1524
g1231,g1231,or,n1440,n876,n1276
g584,g584,nor,n2183,n618,n1559
g583,g583,nor,n2184,n682,n1466
g2598,g2598,nor,n197,n68,n196
g1904,g1904,nor,n867,n8[18],n2[82]
g581,g581,or,n2186,n1578,n1865
g1437,g1437,nor,n1475,n277,n1235
g580,g580,or,n2187,n1450,n1866
g2052,g2052,nor,n719,n8[30],n2536
g579,g579,or,n2188,n1451,n1890
g578,g578,or,n2189,n1452,n1867
g1410,g1410,nor,n1502,n276,n1243
g577,g577,or,n2190,n1454,n1873
g576,g576,or,n2191,n1458,n1868
g1117,g1117,nor,n1650,n3[27],n1284
g573,g573,or,n2194,n1456,n1872
g2376,g2376,not,n395,n2537
g572,g572,or,n2195,n1457,n1871
g2114,g2114,not,n657,n5[31]
g571,g571,or,n2196,n1712,n1874
g2180,g2180,not,n591,n4[14]
g570,g570,or,n2197,n1459,n1876
g569,g569,or,n2198,n1460,n1877
g566,g566,or,n2201,n1463,n1880
g565,g565,or,n2202,n1800,n1882
